,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6,Occupied 7,Occupied 8
19,Grommet,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
20,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
21,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
22,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
23,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
24,Base,Long_Arm,Long_Arm,Long_Arm,Long_Arm,Base,Base,Long_Arm,,False,True,False,True,False,False,True
25,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,False,True,False,True,False,False,True
26,Base,Long_Arm,Long_Arm,Grommet,Long_Arm,Base,Base,Long_Arm,,True,True,True,True,True,True,True
27,Base,Long_Arm,Long_Arm,Grommet,Long_Arm,Base,Base,Long_Arm,,True,True,True,True,True,True,True
28,Base,Mega_Stitch,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Mega_Stitch,Long_Arm,,True,True,True,True,True,True,True
29,Base,Mega_Stitch,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Mega_Stitch,Long_Arm,,True,True,True,True,True,True,True
30,Grommet,Mega_Stitch,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Mega_Stitch,Long_Arm,,True,True,True,True,True,True,True
31,Grommet,Mega_Stitch,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Mega_Stitch,Long_Arm,,True,True,True,True,True,True,True
32,Grommet,Mega_Stitch,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Mega_Stitch,Long_Arm,,True,True,True,True,True,True,True
33,Base,Mega_Stitch,Base,Mega_Stitch,Base,Mega_Stitch,Mega_Stitch,Grommet,,True,False,True,False,True,True,False
34,Base,Mega_Stitch,Base,Mega_Stitch,Base,Mega_Stitch,Mega_Stitch,Base,,True,,True,,True,True,
35,Long_Arm,Mega_Stitch,Long_Arm,Mega_Stitch,Sewing_Machine_,Mega_Stitch,Mega_Stitch,Long_Arm,False,True,False,True,,True,True,False
36,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Mega_Stitch,Base,Mega_Stitch,Mega_Stitch,Sewing_Machine_,True,True,True,True,,True,True,True
37,Grommet,Mega_Stitch,Grommet,Mega_Stitch,Sewing_Machine_,Mega_Stitch,Mega_Stitch,Grommet,True,True,True,True,,True,True,True
38,Grommet,Grommet,Grommet,Grommet,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Grommet,True,False,True,False,,False,False,True
39,Grommet,Long_Arm,Grommet,Long_Arm,Long_Arm,Long_Arm,Long_Arm,Grommet,True,,True,,,,,True
40,Grommet,Mega_Stitch,Grommet,Mega_Stitch,Sewing_Machine_,Mega_Stitch,Mega_Stitch,Grommet,True,False,True,False,,False,False,True
41,Grommet,Sewing_Machine_,Grommet,Base,Base,Sewing_Machine_,Loading Area,Grommet,True,True,True,True,,True,True,True
42,Grommet,Long_Arm,Grommet,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Grommet,Grommet,True,True,True,True,,True,True,True
43,Grommet,Grommet,Grommet,Grommet,Long_Arm,Grommet,Grommet,Grommet,True,True,True,True,,True,True,True
44,Grommet,Grommet,Grommet,Grommet,RF_Welder,Grommet,Grommet,Grommet,True,True,True,True,,True,True,True
45,Grommet,Grommet,Grommet,Grommet,Base,Grommet,Grommet,Grommet,True,True,True,True,,True,True,True
46,Grommet,Grommet,Grommet,Grommet,Base,Grommet,Grommet,Grommet,True,True,True,True,,True,True,True
47,Grommet,Grommet,Grommet,Grommet,Grommet,Grommet,Grommet,Grommet,False,True,False,True,False,True,True,False
48,Sewing_Machine_,Sewing_Machine_,Loading Area,Mega_Stitch,Base,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,True,False,True,False,True,False,False,True
49,Mega_Stitch,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
50,Mega_Stitch,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
51,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
52,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
53,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
54,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
55,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
56,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
57,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,True,,True,,True,,,True
58,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,True,,True,,True,,,True
59,Base,Base,Base,Base,Base,Base,Base,Base,False,,False,,False,,,False
